player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Carlos Izquierdoz,ARG,DF,33.0,15.7,6.0,0.4,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Jorge Figal,ARG,DF,27.0,15.1,9.0,0.56,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Exequiel Zeballos,ARG,"MF,FW",19.0,14.9,68.0,4.55,28.0,17.0,16.0,3.0,4.0,0.0,4.0,0.27,2.0,0.0,2.0,0.0,0.0,0.0,2022
Eduardo Salvio,ARG,MF,31.0,11.9,37.0,3.19,25.0,1.0,5.0,3.0,2.0,1.0,3.0,0.26,1.0,0.0,0.0,1.0,1.0,0.0,2022
Agustín Sández,PAR,DF,21.0,11.8,15.0,1.27,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Gabriel Aranda,ARG,DF,20.0,11.0,6.0,0.59,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Aaron Nicolás Molinas,ARG,MF,21.0,11.0,42.0,3.81,30.0,7.0,1.0,1.0,3.0,0.0,5.0,0.45,5.0,0.0,0.0,0.0,0.0,0.0,2022
Luca Langoni,ARG,"FW,MF",19.0,10.5,25.0,2.37,18.0,0.0,0.0,2.0,5.0,0.0,3.0,0.28,1.0,0.0,0.0,1.0,1.0,0.0,2022
Jorman Campuzano,COL,MF,25.0,9.9,8.0,0.81,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,2022
Marcelo Weigandt,ARG,DF,22.0,9.0,22.0,2.44,15.0,2.0,0.0,2.0,3.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,2022
Facundo Roncaglia,ARG,DF,34.0,8.7,3.0,0.35,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Javier Hernán García,ARG,GK,35.0,8.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Martín Payero,ARG,"MF,FW",23.0,7.5,14.0,1.83,10.0,0.0,0.0,2.0,2.0,0.0,3.0,0.39,2.0,0.0,0.0,1.0,0.0,0.0,2022
Nicolás Orsini,ARG,FW,27.0,5.6,7.0,1.24,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Esteban Rolón,ARG,MF,26.0,4.4,6.0,1.36,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Gastón Ávila,ARG,DF,20.0,3.6,4.0,1.13,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.28,0.0,0.0,0.0,1.0,0.0,0.0,2022
Diego González,ARG,MF,33.0,3.0,10.0,3.33,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,2022
Norberto Briasco,ARM,"FW,MF",25.0,1.7,3.0,1.78,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Gonzalo Morales,ARG,FW,18.0,1.5,3.0,1.97,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Gabriel Vega,ARG,MF,19.0,1.0,2.0,2.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Maximiliano Zalazar,ARG,"FW,MF",20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Leandro Brey,ARG,GK,19.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Brandon Cortés,CHI,"MF,FW",20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Simón Rivero,ARG,"MF,FW",18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Agustín Almendra,ARG,MF,21.0,0.1,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
